MSFT,Microsoft Corporation,2017-11-02,BRIEF-Vattenfall signs wind power supply deal with Microsoft ,* Vattenfall announces major wind power supply deal with Microsoft,topStory
TSLA,Tesla Inc ,2017-11-02,US STOCKS-Wall St drifts with eyes on Fed chief announcement ,* Tax bill calls for slashing corporate tax to 20 pct from 35 pct,topStory
TSLA,Tesla Inc ,2017-11-02,Tesla stock falls on Model 3 delays  biggest-ever quarterly loss ,SAN FRANCISCO Tesla Inc  on Wednesday pushed back its target for volume production on its new Model 3 sedan by about three months  saying it was difficult to predict how long it would take to fix all production bottlenecks. | Video ,normal
TSLA,Tesla Inc ,2017-11-02,Tesla must stop overpromising  could need more finance: analysts ,Tesla Inc  shares fell more than 6 percent on Thursday on concern that the carmaker's performance was consistently falling short of chief executive Elon Musk's promises  while several analysts argued it could need more financing soon.,normal
TSLA,Tesla Inc ,2017-11-02,UPDATE 2-Tesla must stop overpromising  could need more finance -analysts ,Nov 2 Tesla Inc shares fell more than 6 percent on Thursday on concern that the carmaker's performance was consistently falling short of chief executive Elon Musk's promises  while several analysts argued it could need more financing soon.,normal
TSLA,Tesla Inc ,2017-11-02,US STOCKS-Nasdaq dips as Facebook  Tesla fall; S&P  Dow flat ,* Dow up 0.02 pct  S&P down 0.05 pct  Nasdaq down 0.24 pct (Updates to open),normal
TSLA,Tesla Inc ,2017-11-02,REFILE-Tesla must stop overpromising  could need more finance -analysts ,Nov 2 Tesla Inc was set to open more than 6 percent below the previous close on Thursday after it spooked investors with its biggest quarterly loss yet and a delay in production targets for its Model 3 vehicle by about three months.,normal
TSLA,Tesla Inc ,2017-11-02,UPDATE 5-Tesla stock falls on Model 3 delays  biggest-ever quarterly loss ,SAN FRANCISCO  Nov 1 Tesla Inc on Wednesday pushed back its target for volume production on its new Model 3 sedan by about three months  saying it was difficult to predict how long it would take to fix all production bottlenecks.,normal
INTC,Intel Corporation,2017-11-02,Qualcomm sues Apple for breach of software license contract ,Qualcomm Inc  has sued Apple Inc   alleging that it violated a software license contract to benefit rival chipmaker Intel Corp  for making broadband modems  the latest salvo in the longstanding dispute between Qualcomm and Apple.,topStory
INTC,Intel Corporation,2017-11-02,UPDATE 5-Qualcomm sues Apple for breach of software license contract ,Nov 2 Qualcomm Inc has sued Apple Inc   alleging that it violated a software license contract to benefit rival chipmaker Intel Corp for making broadband modems  the latest salvo in the longstanding dispute between Qualcomm and Apple.,normal
INTC,Intel Corporation,2017-11-02,REFILE-Qualcomm sues Apple for contract breach ,Nov 2 Qualcomm Inc has sued Apple Inc   alleging that it violated a software license contract to benefit rival chipmaker Intel for making broadband modems  the latest salvo in a longstanding dispute between the two companies.,normal
QCOM,QUALCOMM Incorporated,2017-11-02,Qualcomm sues Apple for breach of software license contract ,Qualcomm Inc  has sued Apple Inc   alleging that it violated a software license contract to benefit rival chipmaker Intel Corp  for making broadband modems  the latest salvo in the longstanding dispute between Qualcomm and Apple.,topStory
QCOM,QUALCOMM Incorporated,2017-11-02,UPDATE 5-Qualcomm sues Apple for breach of software license contract ,Nov 2 Qualcomm Inc has sued Apple Inc   alleging that it violated a software license contract to benefit rival chipmaker Intel Corp for making broadband modems  the latest salvo in the longstanding dispute between Qualcomm and Apple.,normal
QCOM,QUALCOMM Incorporated,2017-11-02,REFILE-Qualcomm sues Apple for contract breach ,Nov 2 Qualcomm Inc has sued Apple Inc   alleging that it violated a software license contract to benefit rival chipmaker Intel for making broadband modems  the latest salvo in a longstanding dispute between the two companies.,normal
QCOM,QUALCOMM Incorporated,2017-11-02,Qualcomm  JMC seek to exit Alphabet-backed New York WiFi project: sources ,SAN FRANCISCO Chipmaker Qualcomm Inc and private equity firm JMC Capital Partners are looking to sell their stakes in a joint venture that operates more than 1 300 free WiFi kiosks fashioned from old phone booths around New York City  according to people familiar with the matter.,normal
QCOM,QUALCOMM Incorporated,2017-11-02,UPDATE 1-Qualcomm  JMC seek to exit Alphabet-backed New York WiFi project -sources ,SAN FRANCISCO  Nov 1 Chipmaker Qualcomm Inc and private equity firm JMC Capital Partners are looking to sell their stakes in a joint venture that operates more than 1 300 free WiFi kiosks fashioned from old phone booths around New York City  according to people familiar with the matter.,normal
